Source: Wittgenstein Centre for Demography and Global Human Capital (2018). Wittgenstein Centre Data Explorer Version 2.0
Available at: www.wittgensteincentre.org/dataexplorer 

""
"Age-Specific Fertility Rate by Education"
"Number of births occurring to women in a particular age group by level of education attainment during a five-year period divided by the number of women in that age group. Available in all scenarios, and at all geographical scales. It is expressed in births per 1,000 women."
"Multiple Scenarios"
" "
"Scenario","Area","Period","Age","Education","Rate"
"SSP2","Zambia","2025-2030","35--39","Lower Secondary",99
"SSP2","Zambia","2030-2035","35--39","Lower Secondary",83
"SSP2","Zambia","2035-2040","35--39","Lower Secondary",71
"SSP2","Zambia","2040-2045","35--39","Lower Secondary",63
"SSP2","Zambia","2045-2050","35--39","Lower Secondary",56
"SSP2","Zambia","2050-2055","35--39","Lower Secondary",50
"SSP2","Zambia","2055-2060","35--39","Lower Secondary",45
"SSP2","Zambia","2060-2065","35--39","Lower Secondary",41
"SSP2","Zambia","2065-2070","35--39","Lower Secondary",38
"SSP2","Zambia","2075-2080","35--39","Lower Secondary",34
"SSP2","Zambia","2015-2020","40--44","Lower Secondary",47
"SSP2","Zambia","2020-2025","40--44","Lower Secondary",46
"SSP2","Zambia","2025-2030","40--44","Lower Secondary",46
"SSP2","Zambia","2030-2035","40--44","Lower Secondary",35
"SSP2","Zambia","2035-2040","40--44","Lower Secondary",31
"SSP2","Zambia","2040-2045","40--44","Lower Secondary",27
"SSP2","Zambia","2045-2050","40--44","Lower Secondary",23
"SSP2","Zambia","2050-2055","40--44","Lower Secondary",20
"SSP2","Zambia","2055-2060","40--44","Lower Secondary",18
"SSP2","Zambia","2060-2065","40--44","Lower Secondary",16
"SSP2","Zambia","2065-2070","40--44","Lower Secondary",14
"SSP2","Zambia","2075-2080","40--44","Lower Secondary",11
"SSP2","Zambia","2015-2020","45--49","Lower Secondary",12
"SSP2","Zambia","2020-2025","45--49","Lower Secondary",12
"SSP2","Zambia","2025-2030","45--49","Lower Secondary",11
"SSP2","Zambia","2030-2035","45--49","Lower Secondary",7
"SSP2","Zambia","2035-2040","45--49","Lower Secondary",6
"SSP2","Zambia","2040-2045","45--49","Lower Secondary",5
"SSP2","Zambia","2045-2050","45--49","Lower Secondary",4
"SSP2","Zambia","2050-2055","45--49","Lower Secondary",3
"SSP2","Zambia","2055-2060","45--49","Lower Secondary",2
"SSP2","Zambia","2060-2065","45--49","Lower Secondary",2
"SSP2","Zambia","2065-2070","45--49","Lower Secondary",1
"SSP2","Zambia","2075-2080","45--49","Lower Secondary",0
"SSP2","Zambia","2015-2020","15--19","Upper Secondary",3
"SSP2","Zambia","2020-2025","15--19","Upper Secondary",0
"SSP2","Zambia","2025-2030","15--19","Upper Secondary",0
"SSP2","Zambia","2030-2035","15--19","Upper Secondary",0
"SSP2","Zambia","2035-2040","15--19","Upper Secondary",0
"SSP2","Zambia","2040-2045","15--19","Upper Secondary",0
"SSP2","Zambia","2045-2050","15--19","Upper Secondary",0
"SSP2","Zambia","2050-2055","15--19","Upper Secondary",0
"SSP2","Zambia","2055-2060","15--19","Upper Secondary",0
"SSP2","Zambia","2060-2065","15--19","Upper Secondary",0
"SSP2","Zambia","2065-2070","15--19","Upper Secondary",0
"SSP2","Zambia","2075-2080","15--19","Upper Secondary",0
"SSP2","Zambia","2015-2020","20--24","Upper Secondary",161
"SSP2","Zambia","2020-2025","20--24","Upper Secondary",163
"SSP2","Zambia","2025-2030","20--24","Upper Secondary",161
"SSP2","Zambia","2030-2035","20--24","Upper Secondary",160
"SSP2","Zambia","2035-2040","20--24","Upper Secondary",157
"SSP2","Zambia","2040-2045","20--24","Upper Secondary",150
"SSP2","Zambia","2045-2050","20--24","Upper Secondary",144
"SSP2","Zambia","2050-2055","20--24","Upper Secondary",137
"SSP2","Zambia","2055-2060","20--24","Upper Secondary",131
"SSP2","Zambia","2060-2065","20--24","Upper Secondary",125
"SSP2","Zambia","2065-2070","20--24","Upper Secondary",120
"SSP2","Zambia","2075-2080","20--24","Upper Secondary",111
"SSP2","Zambia","2015-2020","25--29","Upper Secondary",175
"SSP2","Zambia","2020-2025","25--29","Upper Secondary",174
"SSP2","Zambia","2025-2030","25--29","Upper Secondary",172
"SSP2","Zambia","2030-2035","25--29","Upper Secondary",171
"SSP2","Zambia","2035-2040","25--29","Upper Secondary",177
"SSP2","Zambia","2040-2045","25--29","Upper Secondary",185
"SSP2","Zambia","2045-2050","25--29","Upper Secondary",181
"SSP2","Zambia","2050-2055","25--29","Upper Secondary",174
"SSP2","Zambia","2055-2060","25--29","Upper Secondary",166
"SSP2","Zambia","2060-2065","25--29","Upper Secondary",159
"SSP2","Zambia","2065-2070","25--29","Upper Secondary",153
"SSP2","Zambia","2075-2080","25--29","Upper Secondary",145
"SSP2","Zambia","2015-2020","30--34","Upper Secondary",135
"SSP2","Zambia","2020-2025","30--34","Upper Secondary",134
"SSP2","Zambia","2025-2030","30--34","Upper Secondary",133
"SSP2","Zambia","2030-2035","30--34","Upper Secondary",132
"SSP2","Zambia","2035-2040","30--34","Upper Secondary",133
