Source: Wittgenstein Centre for Demography and Global Human Capital (2018). Wittgenstein Centre Data Explorer Version 2.0
Available at: www.wittgensteincentre.org/dataexplorer 

""
"Age-Specific Survival Ratio by Education"
"Survivorship of population in a particular education group and by five-year age group. Available by level of educational attainment, in all scenarios, and at all geographical scales. It is expressed as a percentage."
"Multiple Scenarios"
" "
"Scenario","Area","Period","Age","Sex","Education","Ratio"
"SSP2","Zambia","2060-2065","5--9","Female","No Education",99.2
"SSP2","Zambia","2065-2070","5--9","Female","No Education",99.2
"SSP2","Zambia","2070-2075","5--9","Female","No Education",99.3
"SSP2","Zambia","2015-2020","10--14","Female","No Education",99.2
"SSP2","Zambia","2020-2025","10--14","Female","No Education",99.4
"SSP2","Zambia","2025-2030","10--14","Female","No Education",99.4
"SSP2","Zambia","2030-2035","10--14","Female","No Education",99.4
"SSP2","Zambia","2035-2040","10--14","Female","No Education",99.5
"SSP2","Zambia","2040-2045","10--14","Female","No Education",99.5
"SSP2","Zambia","2045-2050","10--14","Female","No Education",99.5
"SSP2","Zambia","2050-2055","10--14","Female","No Education",99.5
"SSP2","Zambia","2055-2060","10--14","Female","No Education",99.5
"SSP2","Zambia","2060-2065","10--14","Female","No Education",99.3
"SSP2","Zambia","2065-2070","10--14","Female","No Education",99.3
"SSP2","Zambia","2070-2075","10--14","Female","No Education",99.2
"SSP2","Zambia","2015-2020","15--19","Female","No Education",98.7
"SSP2","Zambia","2020-2025","15--19","Female","No Education",99.1
"SSP2","Zambia","2025-2030","15--19","Female","No Education",99.2
"SSP2","Zambia","2030-2035","15--19","Female","No Education",99.2
"SSP2","Zambia","2035-2040","15--19","Female","No Education",99.3
"SSP2","Zambia","2040-2045","15--19","Female","No Education",99.3
"SSP2","Zambia","2045-2050","15--19","Female","No Education",99.3
"SSP2","Zambia","2050-2055","15--19","Female","No Education",99.4
"SSP2","Zambia","2055-2060","15--19","Female","No Education",99.4
"SSP2","Zambia","2060-2065","15--19","Female","No Education",98.7
"SSP2","Zambia","2065-2070","15--19","Female","No Education",98.7
"SSP2","Zambia","2070-2075","15--19","Female","No Education",98.8
"SSP2","Zambia","2015-2020","20--24","Female","No Education",98.2
"SSP2","Zambia","2020-2025","20--24","Female","No Education",98.7
"SSP2","Zambia","2025-2030","20--24","Female","No Education",98.8
"SSP2","Zambia","2030-2035","20--24","Female","No Education",98.8
"SSP2","Zambia","2035-2040","20--24","Female","No Education",98.9
"SSP2","Zambia","2040-2045","20--24","Female","No Education",98.9
"SSP2","Zambia","2045-2050","20--24","Female","No Education",99
"SSP2","Zambia","2050-2055","20--24","Female","No Education",99
"SSP2","Zambia","2055-2060","20--24","Female","No Education",99.1
