"SurveyId","survey_year","country_name","country_code_2","zip_file_name","FileSize","file_name","country_code","n_wave"
"DR1991DHS","1991","Dominican Republic","DR","DRPR21SV.ZIP",637009,"DRPR21SV.rds","DOM",6
"DR1996DHS","1996","Dominican Republic","DR","DRPR32SV.ZIP",1925725,"DRPR32SV.rds","DOM",6
"DR1999DHS","1999","Dominican Republic","DR","DRPR41SV.ZIP",183603,"DRPR41SV.rds","DOM",6
"DR2002DHS","2002","Dominican Republic","DR","DRPR4BSV.ZIP",5204177,"DRPR4BSV.rds","DOM",6
"DR2007DHS","2007","Dominican Republic","DR","DRPR52sv.zip",12918219,"DRPR52sv.rds","DOM",6
"DR2013DHS","2013","Dominican Republic","DR","DRPR61SV.ZIP",7230105,"DRPR61SV.rds","DOM",6
"EG1992DHS","1992","Egypt","EG","EGPR21SV.ZIP",1172595,"EGPR21SV.rds","EGY",7
"EG1995DHS","1995","Egypt","EG","EGPR33SV.ZIP",2354336,"EGPR33SV.rds","EGY",7
"EG2000DHS","2000","Egypt","EG","EGPR42SV.ZIP",4356767,"EGPR42SV.rds","EGY",7
"EG2003DHS","2003","Egypt","EG","EGPR4ASV.ZIP",3270492,"EGPR4ASV.rds","EGY",7
"EG2005DHS","2005","Egypt","EG","EGPR51sv.zip",9338771,"EGPR51sv.rds","EGY",7
"EG2008DHS","2008","Egypt","EG","EGPR5ASV.ZIP",5580091,"EGPR5ASV.rds","EGY",7
"EG2014DHS","2014","Egypt","EG","EGPR61SV.ZIP",10797243,"EGPR61SV.rds","EGY",7
"ET2000DHS","2000","Ethiopia","ET","ETPR41SV.ZIP",5251592,"ETPR41SV.rds","ETH",5
"ET2005DHS","2005","Ethiopia","ET","ETPR51sv.zip",4127447,"ETPR51sv.rds","ETH",5
"ET2011DHS","2011","Ethiopia","ET","ETPR61SV.ZIP",7398554,"ETPR61SV.rds","ETH",5
"ET2016DHS","2016","Ethiopia","ET","ETPR71SV.ZIP",8361371,"ETPR71SV.rds","ETH",5
"ET2019DHS","2019","Ethiopia","ET","ETPR81SV.ZIP",1861273,"ETPR81SV.rds","ETH",5
"GM2013DHS","2013","Gambia","GM","GMPR61SV.ZIP",3797843,"GMPR61SV.rds","GMB",2
"GM2019DHS","2019","Gambia","GM","GMPR81SV.ZIP",4053478,"GMPR81SV.rds","GMB",2
"GH1993DHS","1993","Ghana","GH","GHPR31SV.ZIP",761408,"GHPR31SV.rds","GHA",5
"GH1998DHS","1998","Ghana","GH","GHPR41SV.ZIP",797380,"GHPR41SV.rds","GHA",5
"GH2003DHS","2003","Ghana","GH","GHPR4BSV.ZIP",2203716,"GHPR4BSV.rds","GHA",5
"GH2008DHS","2008","Ghana","GH","GHPR5ASV.ZIP",3452707,"GHPR5ASV.rds","GHA",5
"GH2014DHS","2014","Ghana","GH","GHPR72SV.ZIP",3347299,"GHPR72SV.rds","GHA",5
"GU1995DHS","1995","Guatemala","GU","GUPR34SV.ZIP",881630,"GUPR34SV.rds","GTM",3
"GU1999DHS","1999","Guatemala","GU","GUPR41SV.ZIP",1126523,"GUPR41SV.rds","GTM",3
"GU2015DHS","2015","Guatemala","GU","GUPR71SV.ZIP",8969915,"GUPR71SV.rds","GTM",3
"GN1999DHS","1999","Guinea","GN","GNPR41SV.ZIP",502473,"GNPR41SV.rds","GIN",4
"GN2005DHS","2005","Guinea","GN","GNPR53SV.ZIP",1833193,"GNPR53SV.rds","GIN",4
"GN2012DHS","2012","Guinea","GN","GNPR62SV.ZIP",2810298,"GNPR62SV.rds","GIN",4
"GN2018DHS","2018","Guinea","GN","GNPR71SV.ZIP",4487519,"GNPR71SV.rds","GIN",4
"HT1994DHS","1994","Haiti","HT","HTPR31SV.ZIP",516216,"HTPR31SV.rds","HTI",5
"HT2000DHS","2000","Haiti","HT","HTPR42sv.zip",2148662,"HTPR42sv.rds","HTI",5
"HT2006DHS","2006","Haiti","HT","HTPR52SV.ZIP",2767072,"HTPR52SV.rds","HTI",5
"HT2012DHS","2012","Haiti","HT","HTPR61SV.ZIP",5344495,"HTPR61SV.rds","HTI",5
"HT2016DHS","2016","Haiti","HT","HTPR71SV.ZIP",7419850,"HTPR71SV.rds","HTI",5
"HN2005DHS","2005","Honduras","HN","HNPR52SV.ZIP",6281727,"HNPR52SV.rds","HND",2
"HN2011DHS","2011","Honduras","HN","HNPR62SV.ZIP",6440261,"HNPR62SV.rds","HND",2
"IA1993DHS","1993","India","IA","IAPR23SV.ZIP",15571462,"IAPR23SV.rds","IND",3
"IA1999DHS","1999","India","IA","IAPR42SV.ZIP",20267128,"IAPR42SV.rds","IND",3
"IA2006DHS","2006","India","IA","IAPR52SV.ZIP",42238495,"IAPR52SV.rds","IND",3
"ID1991DHS","1991","Indonesia","ID","IDPR21SV.ZIP",3150209,"IDPR21SV.rds","IDN",7
"ID1994DHS","1994","Indonesia","ID","IDPR31SV.ZIP",3145919,"IDPR31SV.rds","IDN",7
